,X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypeOfSteel_A300,TypeOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas
1906,196,209,157035,157044,60,20,14,7508,117,135,1364,0,1,40,0.2874,0.4872,0.6923,0.0095,0.65,0.6429,0,1.7781,1.1139,0.9542,-0.3077,-0.0224,0.2253
904,764,779,2070108,2070121,134,20,13,13696,67,127,1692,1,0,60,0.9031,0.3128,0.8667,0.0089,0.75,1,0,2.1271,1.1761,1.1139,-0.1333,-0.2015,0.3285
1300,4,13,409986,410023,213,17,37,24476,96,134,1687,0,1,200,0.0047,0.3604,0.2432,0.0053,0.5294,1,1,2.3284,0.9542,1.5682,0.7568,-0.1023,0.5511
1791,209,259,9649727,9649771,1182,87,71,130201,96,127,1360,1,0,100,0.3074,0.4627,0.88,0.0368,0.5747,0.6197,0,3.0726,1.699,1.6435,-0.12,-0.1394,1
1793,779,803,1689276,1689652,4758,307,377,517021,42,143,1364,1,0,120,0.8226,0.4727,0.0638,0.0176,0.0782,0.9973,1,3.6774,1.3802,2.5752,0.9362,-0.1511,1
259,0,17,1549800,1549891,1030,72,92,71852,49,84,1354,1,0,70,0,0.3342,0.1868,0.0126,0.2361,0.9891,1,3.0128,1.2305,1.959,0.8132,-0.455,0.9998
860,615,622,2188217,2188232,57,13,15,6560,107,127,1366,0,1,100,0.9004,0.4571,0.4667,0.0051,0.5385,1,1,1.7559,0.8451,1.1761,0.5333,-0.1009,0.2116
1307,28,36,3213793,3213815,124,16,22,14618,97,141,1658,1,0,100,0.0338,0.2955,0.3636,0.0048,0.5,1,1,2.0934,0.9031,1.3424,0.6364,-0.079,0.3012
573,39,195,554961,555021,5970,188,118,618937,43,125,1356,0,1,40,0.0575,0.3622,0.3846,0.115,0.8298,0.5085,0,3.776,2.1931,1.7781,-0.6154,-0.19,1
133,1555,1570,1823955,1823987,285,24,32,29895,81,126,1698,0,1,90,0.1508,0.4063,0.4688,0.0088,0.625,1,1,2.4548,1.1761,1.5051,0.5313,-0.1805,0.7659
155,13,21,1488612,1488636,105,18,24,13943,120,150,1358,1,0,70,0.0192,0.4531,0.3333,0.0059,0.4444,1,1,2.0212,0.9031,1.3802,0.6667,0.0374,0.3241
437,41,219,1221106,1221276,15601,865,517,1835252,23,143,1400,0,1,40,0.0586,0.4844,0.9551,0.1271,0.2058,0.3288,0,4.1932,2.2504,2.2304,-0.0449,-0.081,1
823,1330,1334,1668998,1669028,73,15,30,8549,109,127,1358,0,1,40,0.0353,0.3917,0.1333,0.003,0.2667,1,1,1.8633,0.6021,1.4771,0.8667,-0.0851,0.2288
1722,15,31,991553,991569,151,21,18,16849,104,119,1387,0,1,40,0.0216,0.4102,1,0.0115,0.7619,0.8889,0.5,2.179,1.2041,1.2041,0,-0.1283,0.4235
1323,387,396,695980,696006,169,25,26,17587,96,118,1372,0,1,40,0.5641,0.2778,0.3462,0.0066,0.36,1,1,2.2279,0.9542,1.415,0.6539,-0.187,0.3882
553,55,174,327823,327870,3437,163,82,354240,45,126,1360,0,1,40,0.0809,0.3855,0.395,0.0875,0.7301,0.5732,0,3.5362,2.0756,1.6721,-0.605,-0.1948,1
1105,1015,1023,639490,639507,81,17,17,10095,113,143,1362,0,1,175,0.4978,0.4044,0.4706,0.0059,0.4706,1,1,1.9085,0.9031,1.2305,0.5294,-0.0263,0.2482
1849,408,415,195003,195029,111,14,27,16728,144,158,1353,0,1,100,0.6031,0.3901,0.2692,0.0052,0.5,0.963,1,2.0453,0.8451,1.415,0.7308,0.1774,0.3097
1019,165,176,1293999,1294012,106,11,13,11973,96,128,1654,1,0,80,0.1995,0.2587,0.8461,0.0066,1,1,1,2.0253,1.0414,1.1139,0.1539,-0.1176,0.257
780,861,866,858604,858608,17,7,4,2214,114,142,1356,0,1,50,0.7227,0.15,0.8,0.0037,0.7143,1,0,1.2305,0.699,0.6021,-0.2,0.0175,0.1322
584,39,200,718174,718237,6181,209,117,638448,44,127,1356,0,1,40,0.0575,0.3906,0.3913,0.1187,0.7703,0.5385,0,3.7911,2.2068,1.7993,-0.6087,-0.193,1
917,532,544,3581245,3581267,148,25,23,16061,91,127,1686,1,0,60,0.6311,0.4394,0.5454,0.0071,0.48,0.9565,1,2.1703,1.0792,1.3424,0.4545,-0.1522,0.4366
135,1540,1558,1511165,1511591,4686,251,427,454421,30,133,1688,1,0,70,0.154,0.3889,0.0422,0.0107,0.0717,0.9977,1,3.6708,1.2553,2.6294,0.9578,-0.2424,1
161,39,51,66522,66578,436,41,56,39043,71,117,1354,1,0,70,0.0576,0.3512,0.2143,0.0089,0.2927,1,1,2.6395,1.0792,1.7482,0.7857,-0.3004,0.9216
1106,693,705,697863,697905,239,30,43,27364,100,126,1360,0,1,175,0.9632,0.5258,0.2857,0.0088,0.4,0.9767,1,2.3784,1.0792,1.6233,0.7143,-0.1055,0.7933
1172,567,580,532545,532556,110,16,11,11890,75,140,1690,1,0,70,0.671,0.2308,0.8461,0.0077,0.8125,1,0,2.0414,1.1139,1.0414,-0.1539,-0.1555,0.257
381,824,832,928256,928264,53,9,8,9033,158,181,1387,0,1,40,0.8003,0.1719,1,0.0058,0.8889,1,0.5,1.7243,0.9031,0.9031,0,0.3315,0.1696
1491,244,261,184455,184498,460,49,44,46972,86,111,1692,0,1,300,0.2884,0.3707,0.3954,0.01,0.3469,0.9773,1,2.6628,1.2305,1.6335,0.6047,-0.2022,0.9457
1917,154,169,260124,260136,75,27,17,9948,125,143,1364,0,1,40,0.2258,0.5833,0.8,0.011,0.5556,0.7059,0,1.8751,1.1761,1.0792,-0.2,0.0362,0.3068
913,1338,1348,3023370,3023381,82,14,11,9124,93,127,1694,1,0,60,0.4085,0.2546,0.9091,0.0059,0.7143,1,1,1.9138,1,1.0414,0.0909,-0.1307,0.2173
1772,883,917,745600,745614,254,42,25,31667,116,135,1362,0,1,50,0.6535,0.4664,0.4118,0.025,0.8095,0.56,0,2.4048,1.5315,1.1461,-0.5882,-0.026,0.761
1562,155,187,673270,673281,129,50,25,16937,123,141,1354,0,1,50,0.2289,0.6335,0.3438,0.0236,0.64,0.44,0,2.1106,1.5051,1.0414,-0.6563,0.0257,0.5822
1699,871,883,81644,81706,407,42,63,38223,84,108,1394,0,1,220,0.7331,0.453,0.1936,0.0086,0.2857,0.9841,1,2.6096,1.0792,1.7924,0.8065,-0.2663,0.95
1512,1580,1590,3160372,3160387,87,20,15,9275,99,124,1690,0,1,70,0.1183,0.42,0.6667,0.0059,0.5,1,1,1.9395,1,1.1761,0.3333,-0.1671,0.266
1818,613,620,9228,9246,85,12,18,8495,88,124,1366,0,1,175,0.8975,0.3254,0.3889,0.0051,0.5833,1,1,1.9294,0.8451,1.2553,0.6111,-0.2192,0.2359
96,1058,1066,367429,367455,135,18,26,15385,103,126,1690,0,1,70,0.7385,0.351,0.3077,0.0047,0.4444,1,1,2.1303,0.9031,1.415,0.6923,-0.1097,0.3479
1691,88,106,462995,463001,64,21,9,6613,94,119,1360,0,1,200,0.1294,0.4074,0.3333,0.0132,0.8571,0.6667,0,1.8062,1.2553,0.7782,-0.6667,-0.1928,0.215
1887,1675,1684,663138,663171,167,23,33,10526,35,84,1688,1,0,150,0.0047,0.4377,0.2727,0.0053,0.3913,1,1,2.2227,0.9542,1.5185,0.7273,-0.5076,0.4913
1830,156,163,48235,48244,36,8,9,6430,172,189,1353,0,1,200,0.2306,0.4286,0.7778,0.0052,0.875,1,1,1.5563,0.8451,0.9542,0.2222,0.3954,0.1687
967,682,693,1620649,1620667,126,15,18,14330,104,133,1354,0,1,40,0.9764,0.3636,0.6111,0.0081,0.7333,1,1,2.1004,1.0414,1.2553,0.3889,-0.1115,0.3329
1895,773,801,2240409,2240422,207,34,23,26766,114,143,1668,1,0,100,0.9269,0.4313,0.4643,0.0168,0.8235,0.5652,0,2.316,1.4472,1.1139,-0.5357,0.0102,0.6015
1844,111,121,104337,104353,101,10,17,16669,153,175,1353,0,1,100,0.1641,0.3688,0.625,0.0074,1,0.9412,1,2.0043,1,1.2041,0.375,0.2894,0.2792
321,27,42,2682394,2682435,376,40,43,36566,81,119,1352,1,0,70,0.0399,0.3886,0.3659,0.0111,0.375,0.9535,1,2.5752,1.1761,1.6128,0.6342,-0.2402,0.8894
427,35,210,1029360,1029531,14963,779,468,1720418,22,141,1398,0,1,40,0.0501,0.5,0.9771,0.1252,0.2246,0.3654,0,4.175,2.243,2.233,-0.0229,-0.1017,1
1436,345,355,348556,348568,92,16,12,9704,71,132,1688,1,0,150,0.4088,0.2333,0.8333,0.0059,0.625,1,1,1.9638,1,1.0792,0.1667,-0.176,0.2288
52,11,20,2845229,2845256,182,20,27,16337,72,109,1688,1,0,60,0.013,0.251,0.3333,0.0053,0.45,1,1,2.2601,0.9542,1.4314,0.6667,-0.2987,0.4025
886,873,900,1099506,1099516,150,27,12,16873,96,129,1353,0,1,50,0.6696,0.4444,0.3704,0.02,1,0.8333,0,2.1761,1.4314,1,-0.6296,-0.1212,0.4465
1620,474,486,1352048,1352060,73,14,12,7241,86,118,1652,1,0,70,0.5738,0.4931,1,0.0073,0.8571,1,0.5,1.8633,1.0792,1.0792,0,-0.2251,0.2583
1450,171,182,1804039,1804048,69,12,9,8210,99,143,1688,1,0,100,0.2026,0.303,0.8182,0.0065,0.9167,1,0,1.8389,1.0414,0.9542,-0.1818,-0.0704,0.2051
965,1134,1156,728281,728304,375,32,23,34485,48,132,1364,1,0,70,0.305,0.2589,0.9565,0.0161,0.6875,1,1,2.574,1.3424,1.3617,0.0435,-0.2816,0.7955
1645,727,739,587412,587452,289,35,40,30229,75,124,1374,0,1,40,0.9243,0.3979,0.3,0.0087,0.3429,1,1,2.4609,1.0792,1.6021,0.7,-0.1828,0.7659
1479,1536,1561,48398,48463,479,61,67,43294,82,102,1692,0,1,300,0.1549,0.7052,0.3846,0.0148,0.4098,0.9701,1,2.6803,1.3979,1.8129,0.6154,-0.2939,0.9998
663,41,219,2275954,2276025,6454,310,145,675659,40,127,1358,0,1,40,0.0604,0.4893,0.3989,0.1311,0.5742,0.4897,0,3.8098,2.2504,1.8513,-0.6011,-0.1821,1
1223,1059,1080,3787187,3787204,129,40,24,12571,84,124,1364,1,0,80,0.4164,0.6387,0.8095,0.0154,0.525,0.7083,0,2.1106,1.3222,1.2305,-0.1905,-0.2387,0.5903
1606,1376,1384,3467552,3467567,64,14,15,6761,91,116,1690,1,0,60,0.3621,0.4667,0.5333,0.0047,0.5714,1,1,1.8062,0.9031,1.1761,0.4667,-0.1747,0.2288
1385,306,363,2184746,2184752,194,58,10,22315,105,134,1356,0,1,40,0.4513,0.4327,0.1053,0.042,0.9828,0.6,0,2.2878,1.7559,0.7782,-0.8947,-0.1014,0.5659
444,39,211,1292132,1292303,12012,607,362,1381722,30,141,1398,0,1,40,0.0558,0.5916,0.9942,0.123,0.2834,0.4724,0,4.0796,2.2355,2.233,-0.0058,-0.1013,1
292,69,81,2001776,2001794,119,20,18,11516,84,117,1352,1,0,70,0.1021,0.4491,0.6667,0.0089,0.6,1,1,2.0756,1.0792,1.2553,0.3333,-0.244,0.3601
1816,57,64,766963,766976,36,9,13,2765,64,93,1694,1,0,211,0.0673,0.6044,0.5385,0.0041,0.7778,1,1,1.5563,0.8451,1.1139,0.4615,-0.4,0.1965
648,39,212,2070134,2070204,6399,287,132,666455,41,126,1356,0,1,40,0.0575,0.4716,0.4046,0.1276,0.6028,0.5303,0,3.8061,2.238,1.8451,-0.5954,-0.1863,1
1659,899,907,3283148,3283163,68,12,15,7836,107,127,1692,0,1,70,0.9279,0.4333,0.5333,0.0047,0.6667,1,1,1.8325,0.9031,1.1761,0.4667,-0.0997,0.2288
959,188,198,3942253,3942263,74,11,10,8375,95,134,1688,1,0,70,0.2227,0.26,1,0.0059,0.9091,1,0.5,1.8692,1,1,0,-0.1158,0.2061
1583,0,14,1041924,1042036,862,37,113,69375,63,101,1687,1,0,80,0,0.4503,0.125,0.0083,0.3784,0.9912,1,2.9355,1.1461,2.0492,0.875,-0.3712,0.9998
763,804,808,192327,192330,8,4,3,950,105,127,1360,0,1,50,0.8118,0.3333,0.75,0.0029,1,1,0,0.9031,0.6021,0.4771,-0.25,-0.0723,0.1262
865,612,622,2237084,2237099,87,15,15,10024,106,127,1364,0,1,100,0.8974,0.42,0.6667,0.0073,0.6667,1,1,1.9395,1,1.1761,0.3333,-0.0999,0.266
762,1182,1185,171874,171878,8,3,4,958,108,135,1362,0,1,50,0.2599,0.3333,0.75,0.0022,1,1,1,0.9031,0.4771,0.6021,0.25,-0.0645,0.1262
1454,1362,1372,4443762,4443777,114,14,15,12808,102,124,1666,0,1,40,0.3529,0.24,0.6667,0.006,0.7143,1,1,2.0569,1,1.1761,0.3333,-0.1223,0.266
1287,775,783,1370789,1370812,111,16,23,13374,110,134,1358,0,1,40,0.8468,0.3967,0.3478,0.0059,0.5,1,1,2.0453,0.9031,1.3617,0.6522,-0.0587,0.3125
230,212,222,1116878,1116892,62,14,14,6819,98,124,1354,1,0,70,0.3131,0.5571,0.7143,0.0074,0.7143,1,1,1.7924,1,1.1461,0.2857,-0.1408,0.2532
1799,980,992,508236,508253,74,22,18,6859,80,116,1358,1,0,300,0.539,0.6373,0.7059,0.0088,0.5454,0.9444,1,1.8692,1.0792,1.2305,0.2941,-0.2759,0.3419
1277,41,212,2609514,2609580,5951,302,136,617708,38,124,1356,0,1,40,0.0605,0.4727,0.386,0.1261,0.5662,0.4853,0,3.7746,2.233,1.8195,-0.614,-0.1891,1
539,103,161,157419,157529,2463,262,168,312375,116,140,1360,0,1,40,0.1515,0.614,0.5273,0.0426,0.2214,0.6548,1,3.3915,1.7634,2.0414,0.4727,-0.0092,1
1507,1230,1244,86773,86815,279,58,51,35410,118,141,1396,0,1,120,0.2178,0.5255,0.3333,0.01,0.2414,0.8235,1,2.4456,1.1461,1.6233,0.6667,-0.0085,0.8705
159,7,19,21512,21518,56,13,6,6632,108,132,1354,1,0,70,0.0103,0.2222,0.5,0.0089,0.9231,1,0,1.7482,1.0792,0.7782,-0.5,-0.0748,0.1773
1466,279,290,119026,119036,86,15,10,7987,73,109,1694,0,1,60,0.3294,0.2182,0.9091,0.0065,0.7333,1,0,1.9345,1.0414,1,-0.0909,-0.2744,0.2173
1333,997,1009,920577,920619,264,38,42,30966,106,132,1374,0,1,40,0.5313,0.4762,0.2857,0.0087,0.3158,1,1,2.4216,1.0792,1.6233,0.7143,-0.0836,0.7933
918,1393,1402,92878,92896,126,15,18,12598,84,124,1688,1,0,60,0.3389,0.2222,0.5,0.0053,0.6,1,1,2.1004,0.9542,1.2553,0.5,-0.2189,0.2819
421,142,167,947849,947878,354,67,47,44478,120,134,1400,0,1,40,0.2029,0.5117,0.8621,0.0179,0.3731,0.617,1,2.549,1.3979,1.4624,0.1379,-0.0184,0.9437
1928,1303,1344,33298,33323,452,44,26,42686,65,117,1366,0,1,175,0.0322,0.559,0.6098,0.03,0.9318,0.9615,0,2.6551,1.6128,1.3979,-0.3902,-0.2622,0.992
1374,1098,1115,2293200,2293208,59,21,8,6318,97,118,1360,1,0,80,0.3603,0.5662,0.4706,0.0125,0.8095,1,0,1.7708,1.2305,0.9031,-0.5294,-0.1634,0.2482
1688,49,82,313092,313218,2822,102,127,275539,79,124,1360,0,1,200,0.0721,0.3213,0.2619,0.0243,0.3235,0.9921,1,3.4506,1.5185,2.1004,0.7381,-0.2372,1
331,105,125,843822,843837,155,37,23,19453,120,134,1362,0,1,40,0.1542,0.4833,0.75,0.0147,0.5405,0.6522,0,2.1903,1.301,1.1761,-0.25,-0.0195,0.4963
655,41,218,2187237,2187305,6010,257,123,626586,39,126,1358,0,1,40,0.0604,0.5007,0.3842,0.1303,0.6887,0.5529,0,3.7789,2.248,1.8325,-0.6158,-0.1855,1
577,39,190,611732,611792,5941,207,117,618605,45,126,1356,0,1,40,0.0575,0.3443,0.3974,0.1114,0.7295,0.5128,0,3.7739,2.179,1.7781,-0.6026,-0.1865,1
1295,6,17,363701,363718,140,11,17,14533,76,125,1687,0,1,200,0.0071,0.2513,0.6471,0.0065,1,1,1,2.1461,1.0414,1.2305,0.3529,-0.189,0.3168
324,19,28,2811785,2811821,192,35,36,18361,80,118,1354,1,0,70,0.0281,0.4074,0.25,0.0066,0.2571,1,1,2.2833,0.9542,1.5563,0.75,-0.2529,0.5362
526,39,173,2616577,2616725,8344,558,338,945879,52,141,1400,0,1,40,0.0557,0.5793,0.9054,0.0957,0.2401,0.4379,1,3.9214,2.1271,2.1703,0.0946,-0.1144,1
882,480,492,1263623,1263637,114,15,14,12221,80,125,1687,1,0,70,0.5691,0.3214,0.8571,0.0071,0.8,1,1,2.0569,1.0792,1.1461,0.1429,-0.1625,0.2901
1936,249,277,325780,325796,273,54,22,35033,119,141,1360,0,1,40,0.3662,0.3906,0.5714,0.0206,0.5185,0.7273,0,2.4362,1.4472,1.2041,-0.4286,0.0026,0.7254
1456,1151,1162,866291,866302,85,14,11,10211,111,134,1396,0,1,120,0.3352,0.2975,1,0.0079,0.7857,1,0.5,1.9294,1.0414,1.0414,0,-0.0615,0.23
258,116,126,1536604,1536631,155,24,27,16678,96,120,1356,1,0,70,0.1711,0.4259,0.3704,0.0074,0.4167,1,1,2.1903,1,1.4314,0.6296,-0.1594,0.4465
435,41,218,1196243,1196445,16164,861,522,1868220,23,141,1400,0,1,40,0.0586,0.5479,0.8762,0.1264,0.2056,0.387,1,4.2085,2.248,2.3054,0.1238,-0.097,1
1020,267,280,1786108,1786124,154,19,16,17564,93,132,1656,1,0,80,0.3225,0.2596,0.8125,0.0078,0.6842,1,1,2.1875,1.1139,1.2041,0.1875,-0.109,0.3479
1509,1589,1601,3051375,3051391,87,33,19,10070,108,127,1690,0,1,70,0.1053,0.5469,0.75,0.0071,0.3636,0.8421,1,1.9395,1.0792,1.2041,0.25,-0.0957,0.3241
785,974,980,972384,972388,18,6,4,2370,117,148,1358,0,1,50,0.5567,0.25,0.6667,0.0044,1,1,0,1.2553,0.7782,0.6021,-0.3333,0.0287,0.1353
1086,1110,1126,4349724,4349745,220,19,21,27851,115,140,1666,0,1,40,0.6483,0.3452,0.7619,0.0096,0.8421,1,1,2.3424,1.2041,1.3222,0.2381,-0.011,0.556
1202,227,256,1593586,1593597,126,51,36,15951,112,148,1368,1,0,80,0.3319,0.605,0.3793,0.0212,0.5686,0.3056,0,2.1004,1.4624,1.0414,-0.6207,-0.011,0.5279
213,65,104,896899,897032,2875,202,161,316233,82,133,1352,1,0,70,0.0962,0.4457,0.2932,0.0289,0.1931,0.8261,1,3.4586,1.5911,2.1239,0.7068,-0.1407,1
98,971,979,1246698,1246717,109,15,19,12212,100,127,1694,0,1,70,0.8442,0.2829,0.4211,0.0047,0.5333,1,1,2.0374,0.9031,1.2787,0.5789,-0.1247,0.2686
835,1373,1395,5971611,5971616,68,24,9,8685,115,143,1650,1,0,69,0.3091,0.3818,0.2273,0.0133,0.9167,0.5556,0,1.8325,1.3424,0.699,-0.7727,-0.0022,0.2173
1665,1013,1032,3552722,3552733,168,19,11,15757,61,124,1360,1,0,200,0.4823,0.1962,0.5789,0.014,1,1,0,2.2253,1.2787,1.0414,-0.4211,-0.2673,0.3494